Freq.	V(out)
2.58261691613861e+02	(-4.87330573550645e+01dB,2.52855388741639e+01°)
2.64277379203037e+02	(-4.95119854135956e+01dB,2.41332515436047e+01°)
2.70433190156791e+02	(-5.02890752417442e+01dB,2.29918108664684e+01°)
2.76732388367573e+02	(-5.10641648867981e+01dB,2.18603787857062e+01°)
2.83178313753654e+02	(-5.18370780574964e+01dB,2.07381320597594e+01°)
2.89774384029994e+02	(-5.26076229251272e+01dB,1.96242629563543e+01°)
2.96524096520365e+02	(-5.33755908441088e+01dB,1.85179802949711e+01°)
3.03431030011672e+02	(-5.41407549900969e+01dB,1.74185108688743e+01°)
3.10498846651475e+02	(-5.49028689145354e+01dB,1.63251012805513e+01°)
3.17731293889711e+02	(-5.56616650156690e+01dB,1.52370202269817e+01°)
3.25132206465638e+02	(-5.64168529273899e+01dB,1.41535612732244e+01°)
3.32705508441066e+02	(-5.71681178289390e+01dB,1.30740461541177e+01°)
3.40455215280949e+02	(-5.79151186804586e+01dB,1.19978286442251e+01°)
3.48385435982430e+02	(-5.86574863917386e+01dB,1.09242990351892e+01°)
3.56500375253496e+02	(-5.93948219342371e+01dB,9.85288925704876e+00°)
3.64804335742362e+02	(-6.01266944096245e+01dB,8.78307867540954e+00°)
3.73301720318794e+02	(-6.08526390917130e+01dB,7.71440058917636e+00°)
3.81997034408572e+02	(-6.15721554626923e+01dB,6.64644944336332e+00°)
3.90894888382322e+02	(-6.22847052690950e+01dB,5.57888875776456e+00°)
3.99999999999997e+02	(-6.29897106278200e+01dB,4.51145975445599e+00°)
4.09317196912299e+02	(-6.36865522177891e+01dB,3.44399064471893e+00°)
4.18851419220357e+02	(-6.43745675983062e+01dB,2.37640650857742e+00°)
4.28607722095040e+02	(-6.50530497007924e+01dB,1.30873966744212e+00°)
4.38591278457271e+02	(-6.57212455461042e+01dB,2.41140412233440e-01°)
4.48807381720783e+02	(-6.63783552448754e+01dB,-8.26112093991264e-01°)
4.59261448598750e+02	(-6.70235313429862e+01dB,-1.89259896792127e+00°)
4.69959021975809e+02	(-6.76558785780296e+01dB,-2.95775109311814e+00°)
4.80905773846962e+02	(-6.82744541151546e+01dB,-4.02083927694305e+00°)
4.92107508324949e+02	(-6.88782683315466e+01dB,-5.08096546562724e+00°)
5.03570164717664e+02	(-6.94662862176529e+01dB,-6.13705545671100e+00°)
5.15299820677250e+02	(-7.00374294597168e+01dB,-7.18785359262105e+00°)
5.27302695422559e+02	(-7.05905792619156e+01dB,-8.23191995331188e+00°)
5.39585153036658e+02	(-7.11245799571671e+01dB,-9.26763058525852e+00°)
5.52153705841150e+02	(-7.16382434433465e+01dB,-1.02931813040749e+01°)
5.65015017849098e+02	(-7.21303544662473e+01dB,-1.13065955842672e+01°)
5.78175908298367e+02	(-7.25996767523255e+01dB,-1.23057369983557e+01°)
5.91643355267279e+02	(-7.30449599734356e+01dB,-1.32883265861056e+01°)
6.05424499374479e+02	(-7.34649475029686e+01dB,-1.42519654217767e+01°)
6.19526647564988e+02	(-7.38583848987406e+01dB,-1.51941625039416e+01°)
6.33957276984441e+02	(-7.42240290235341e+01dB,-1.61123679216374e+01°)
6.48724038943568e+02	(-7.45606576903099e+01dB,-1.70040110579346e+01°)
6.63834762975020e+02	(-7.48670796967887e+01dB,-1.78665433852236e+01°)
6.79297460984693e+02	(-7.51421450943498e+01dB,-1.86974851954916e+01°)
6.95120331499745e+02	(-7.53847555199185e+01dB,-1.94944754048006e+01°)
7.11311764015564e+02	(-7.55938744075418e+01dB,-2.02553233860054e+01°)
7.27880343443988e+02	(-7.57685368893156e+01dB,-2.09780616291602e+01°)
7.44834854665142e+02	(-7.59078591937219e+01dB,-2.16609979156628e+01°)
7.62184287185293e+02	(-7.60110473534890e+01dB,-2.23027656286501e+01°)
7.79937839903213e+02	(-7.60774050448810e+01dB,-2.29023708146323e+01°)
7.98104925987546e+02	(-7.61063403956337e+01dB,-2.34592346629199e+01°)
8.16695177867806e+02	(-7.60973716191930e+01dB,-2.39732301800286e+01°)
8.35718452341610e+02	(-7.60501313578521e+01dB,-2.44447120026946e+01°)
8.55184835800887e+02	(-7.59643696460033e+01dB,-2.48745385092860e+01°)
8.75104649579815e+02	(-7.58399554360700e+01dB,-2.52640856465404e+01°)
8.95488455427329e+02	(-7.56768766627215e+01dB,-2.56152521759242e+01°)
9.16347061107102e+02	(-7.54752388546124e+01dB,-2.59304563490649e+01°)
9.37691526127962e+02	(-7.52352623361265e+01dB,-2.62126243311693e+01°)
9.59533167607789e+02	(-7.49572780934997e+01dB,-2.64651709911231e+01°)
9.81883566274005e+02	(-7.46417224094852e+01dB,-2.66919739531781e+01°)
1.00475457260382e+03	(-7.42891303977638e+01dB,-2.68973420447194e+01°)
1.02815831310754e+03	(-7.39001285921325e+01dB,-2.70859794660747e+01°)
1.05210719675814e+03	(-7.34754267657453e+01dB,-2.72629471424894e+01°)
1.07661392157076e+03	(-7.30158091720806e+01dB,-2.74336227891221e+01°)
1.10169148133526e+03	(-7.25221254116565e+01dB,-2.76036612245987e+01°)
1.12735317250577e+03	(-7.19952811366798e+01dB,-2.77789564085700e+01°)
1.15361260125063e+03	(-7.14362288097498e+01dB,-2.79656065588716e+01°)
1.18048369066655e+03	(-7.08459587325017e+01dB,-2.81698835326322e+01°)
1.20798068816080e+03	(-7.02254905559143e+01dB,-2.83982074439522e+01°)
1.23611817300543e+03	(-6.95758654763340e+01dB,-2.86571272508971e+01°)
1.26491106406734e+03	(-6.88981393107367e+01dB,-2.89533077891204e+01°)
1.29437462771850e+03	(-6.81933766321993e+01dB,-2.92935234699558e+01°)
1.32452448593035e+03	(-6.74626461329849e+01dB,-2.96846586066184e+01°)
1.35537662455680e+03	(-6.67070173691522e+01dB,-3.01337140894533e+01°)
1.38694740181012e+03	(-6.59275590282400e+01dB,-3.06478199024356e+01°)
1.41925355693429e+03	(-6.51253388513165e+01dB,-3.12342527567824e+01°)
1.45231221908039e+03	(-6.43014253332003e+01dB,-3.19004579079096e+01°)
1.48614091638868e+03	(-6.34568913202969e+01dB,-3.26540740094794e+01°)
1.52075758528223e+03	(-6.25928196240669e+01dB,-3.35029596298194e+01°)
1.55618057997711e+03	(-6.17103107688067e+01dB,-3.44552197953559e+01°)
